"prev_close","open","bid","ask","client_timestamp"
15.8713,15.876,15.6995,15.7095,1641480848064
15.8713,15.876,15.7034,15.7063,1641480858387
15.8713,15.876,15.7748,15.7787,1641501776072
15.8713,15.876,15.7508,15.7556,1641502937918
15.8713,15.876,15.755,15.765,1641503790718
15.8713,15.876,15.755,15.765,1641503812030
15.8713,15.876,15.7496,15.76,1641503875474
15.8713,15.876,15.7507,15.7607,1641504369626
15.8713,15.876,15.7517,15.7617,1641504419944
15.8713,15.876,15.7454,15.7554,1641505505717
15.8713,15.876,15.726,15.7446,1641506405544
15.8713,15.876,15.6865,15.7115,1641507306393
15.8713,15.876,15.7335,15.7435,1641508205413
15.8713,15.876,15.7243,15.7494,1641509105105
15.8713,15.7236,15.7116,15.7367,1641510005512
15.8713,15.7236,15.7343,15.7443,1641510905233
15.8713,15.7236,15.7197,15.7448,1641511805214
15.8713,15.7236,15.7198,15.7449,1641512705510
15.871,15.724,15.721,15.746,1641513605418
15.7221,15.7236,15.7158,15.7258,1641514504435
15.7221,15.7236,15.7185,15.7285,1641515404911
15.7221,15.7236,15.7135,15.7235,1641516305647
15.7221,15.7236,15.7164,15.7373,1641517205194
15.7221,15.7236,15.7048,15.7148,1641518105338
15.722,15.724,15.712,15.722,1641519005254
15.7221,15.7236,15.6997,15.7097,1641519904602
15.722,15.724,15.704,15.726,1641520805045
15.7221,15.7236,15.6943,15.7043,1641521705454
15.7221,15.7236,15.7012,15.7112,1641522604849
15.7221,15.7236,15.7262,15.7362,1641523505458
15.722,15.724,15.718,15.727,1641524404947
15.7221,15.7236,15.7283,15.7378,1641525305180
15.7221,15.7236,15.7172,15.7272,1641526205375
15.7221,15.7236,15.7191,15.7291,1641527104844
15.7221,15.7236,15.7246,15.7317,1641528005447
15.7221,15.7236,15.7261,15.7361,1641528904965
15.722,15.724,15.729,15.739,1641529804885
15.7221,15.7236,15.7263,15.735,1641530705389
15.7221,15.7236,15.7085,15.7185,1641531605494
15.7221,15.7236,15.724,15.7425,1641532504643
15.7221,15.7236,15.7398,15.7498,1641533405254
15.412,15.408,15.365,15.368,1642175106756
15.4123,15.4082,15.3624,15.3654,1642176004462
15.4123,15.4082,15.3582,15.3622,1642176905230
15.4123,15.4082,15.3728,15.378,1642177805542
15.4123,15.4082,15.3839,15.3939,1642178704628
15.4123,15.4082,15.3837,15.3881,1642179604909
15.4123,15.4082,15.3892,15.3992,1642180505340
15.4123,15.4082,15.3903,15.4003,1642181404914
15.4123,15.4082,15.4029,15.4129,1642182305278
15.4123,15.4082,15.427,15.4336,1642183204765
15.4123,15.4082,15.4292,15.4331,1642184105103
15.4123,15.4082,15.4127,15.4159,1642185005095
15.4123,15.4082,15.4001,15.4035,1642185905370
15.4123,15.4082,15.3966,15.4066,1642186804280
15.4123,15.4082,15.399,15.409,1642187705349
15.4123,15.4082,15.3972,15.4064,1642188604571
15.4123,15.4082,15.3914,15.4014,1642189504982
15.4123,15.4082,15.3829,15.3929,1642190405477
15.4123,15.4082,15.4005,15.405,1642191304641
15.4123,15.4082,15.3882,15.3982,1642192205120
15.4123,15.4082,15.3696,15.3796,1642193104474
15.4123,15.4082,15.3787,15.3866,1642194004560
15.4123,15.4082,15.3681,15.3781,1642194904883
15.412,15.408,15.371,15.381,1642195804881
15.4123,15.4082,15.3575,15.3812,1642196704940
15.4123,15.4082,15.3677,15.3777,1642197606145
